Iocode,event,medal,medalist
GER,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Georg Warsow
RUS,Cross-country skiing at the 2010 Winter Olympics – Men's team sprint,3,Nikolay Morilov;Alexey Petukhov
KAZ,Biathlon at the 2010 Winter Olympics – Women's individual,2,Elena Khrustaleva
DEN,Sailing at the 1956 Summer Olympics - Finn,1,Paul Bert Elvstrøm
GRE,Wrestling at the 1984 Summer Olympics - Men's Greco-Roman 57 kg,3,Kharalambos Kholidis
AUT,Alpine Skiing at the 1956 Winter Olympics - Men's downhill,1,Toni Sailer
TUR,Wrestling at the 1956 Summer Olympics - Freestyle Welterweight,2,Ibrahim Zengin
DEN,Canoeing at the 1984 Summer Olympics - Men's C-1 1000 metres,3,Henning Lynge Jakobsen
ROU,Canoeing at the 1964 Summer Olympics - Men's K-1 1000 metres,3,Aurel Vernescu
NZL,Canoeing at the 1984 Summer Olympics - Men's K-1 1000 metres,1,Alan Thompson
USA,Athletics at the 1924 Summer Olympics – Men's marathon,3,Clarence DeMar
IRI,Wrestling at the 1964 summer Olympics - Men's Freestyle Welterweight,3,Mohammad Ali Sanatkaran
URU,Boxing at the 1964 Summer Olympics - Bantamweight,3,Washington Rodríguez
JPN,Judo at the 1972 Summer Olympics - Men's Half Middleweight (70kg),1,Toyokazu Nomura
HUN,Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Light Heavyweight,1,Norbert Növényi
BUL,Weightlifting at the 2000 Summer Olympics - Men's Lightweight 62-69 kg,2,Georgi Markov
SWE,Athletics at the 1948 Summer Olympics – Men's 10 kilometre walk,1,John Mikaelsson
ITA,Boxing at the 2004 Summer Olympics - Super Heavyweight,3,Roberto Cammarelle
AUS,Swimming at the 2004 Summer Olympics - Men's 1500 metre freestyle,1,Grant Hackett
SWE,Modern Pentathlon at the 1928 Summer Olympics - Men's Individual,2,Bo Lindman
URS,Modern pentathlon at the 1964 Summer Olympics - Men's Individual,3,Albert Mokeyev
ITA,Swimming at the 1972 Summer Olympics - Women's 800 metre freestyle,3,Novella Calligaris
GUY,Boxing at the 1980 Summer Olympics - Bantamweight,3,Michael Anthony
NOR,Canoeing at the 2000 Summer Olympics - Men's K-1 500 metres,1,Knut Holmann
AUT,Cycling at the 2004 Summer Olympics - Men's individual road race,,Georg Totschnig
BUL,Wrestling at the 1972 Summer Olympics - Men's Freestyle Featherweight,3,Ivan Krastev
USA,Swimming at the 1968 Summer Olympics – Men's 100 metre butterfly,3,Ross Elliott Wales
URS,Swimming at the 1980 Summer Olympics - Men's 400 metre individual medley,1,Aleksandr Sidorenko
USA,Gymnastics at the 1904 Summer Olympics - Men's club swinging,3,Ralph Wilson
UGA,Boxing at the 1972 Summer Olympics - Flyweight,2,Leo Rwabwogo
DEN,Wrestling at the 1920 Summer Olympics - Men's Greco-Roman Light Heavyweight,3,Johannes Eriksen
USA,Swimming at the 1968 Summer Olympics – Men's 1500 metre freestyle,2,John Kinsella
FRA,Athletics at the 1900 Summer Olympics - Men's 1500 metres,2,Henri Deloge
GBR,Swimming at the 1980 Summer Olympics - Women's 400 metre Individual Medley,2,Sharron Davies
FRA,Cycling at the 2000 Summer Olympics - Men's cross-country,1,Miguel Martinez
HUN,Fencing at the 1928 Summer Olympics - Men's Sabre; Individual,2,Attila Petschauer
