teamID,iocCode,name,rank,team,eventID,gameID,disciplineID
1,RUS,Cross-country skiing at the 2010 Winter Olympics – Men's team sprint,3,Nikolay Morilov;Alexey Petukhov,274,47,390
2,ITA,Swimming at the 1972 Summer Olympics - Women's 800 metre freestyle,3,Novella Calligaris,271,27,656
3,BUL,Wrestling at the 1980 Summer Olympics - Men's Freestyle Featherweight,2,Mikho Doukov,12,32,369
4,SWE,Shooting at the 1920 Summer Olympics - Men's 600 metre military rifle; prone,1,Hugo Johansson,257,7,357
5,USA,Swimming at the 2000 Summer Olympics - Women's 4x100 metre freestyle relay,1,Dara Torres;Amy Van Dyken;Courtney Shealy;Jenny Thompson,79,42,338
6,USA,Snowboarding at the 1998 Winter Olympics - Men's Halfpipe,3,Ross Powers,296,41,743
7,ESP,Canoeing at the 2008 Summer Olympics - Men's C-1 1000 metres,2,David Cal,248,46,259
8,FIN,Athletics at the 1972 Summer Olympics - Men's 10000 metres,1,Lasse Virén,102,27,251
9,ROU,Athletics at the 1972 Summer Olympics - Women's Discus Throw,2,Argentina Menis,53,27,196
10,FRA,Weightlifting at the 1920 Summer Olympics - Men's Heavyweight +82.5 kg,3,Louis Bernot,11,7,48
11,POL,Modern Pentathlon at the 1976 Summer Olympics - Men's Individual,1,Janusz Pyciak-Peciak,159,30,398
12,USA,Alpine Skiing at the 1994 Winter Olympics - Women's Downhill,2,Picabo Street,60,39,497
13,TCH,Gymnastics at the 1924 Summer Olympics - Men's parallel bars,2,Robert Pražák,43,8,666
14,FRA,Judo at the 2008 Summer Olympics – Women's 78 kg,3,Stephanie Possamai,198,46,39
15,RUS,Wrestling at the 2008 Summer Olympics - Men's Freestyle Featherweight,1,Mavlet Batirov,299,46,36
16,UTA,Wrestling at the 1992 Summer Olympics - Men's freestyle Light Heavyweight,1,Makharbek Khadartsev,238,37,562
17,CAN,Speed skating at the 1998 Winter Olympics - Women's 500m,2,Susan Auch,288,41,69
18,CAN,Athletics at the 1988 Summer Olympics - Men's Decathlon,3,Dave Steen,184,36,684
19,URS,Weightlifting at the 1976 Summer Olympics - Men's Heavyweight  90-110 kg,1,Yuri Zaitsev,112,30,187
20,SWE,Cross Country Skiing at the 1984 Winter Olympics - Men's 30km,3,Gunde Svan,170,34,593
21,EUA,Athletics at the 1964 Summer Olympics - Men's pole vault,3,Klaus Lehnertz,270,24,587
22,ITA,Fencing at the 1932 Summer Olympics - Men's Sabre; Individual,2,Giulio Gaudini,101,13,148
23,ITA,Gymnastics at the 2012 Summer Olympics – Women's rhythmic group all-around,3,Romina Laurito;Elisa Blanchi;Anzhelika Savrayuk;Andreea Stefanescu;Elisa Santoni;Marta Pagnini,50,48,310
24,AUS,Swimming at the 2004 Summer Olympics - Men's 100 metre freestyle,3,Ian Thorpe,179,44,698
25,BLR,Freestyle Skiing at the 2006 Winter Olympics – Men's Aerials,2,Dmitri Dashchinski,207,45,448
26,GER,Alpine Skiing at the 1960 Winter Olympics - Women's Downhill,1,Heidi Biebl,125,21,497
27,YUG,Gymnastics at the 1924 Summer Olympics - Men's Horizontal Bar,1,Leon Štukelj,176,8,701
28,USA,Short Track Speed Skating at the 1992 Winter Olympics - Women's 500m,1,Cathy Turner,174,38,294
29,BUL,Rowing at the 2000 Summer Olympics - Women's Single Sculls,2,Rumyana Neykova,279,42,124
30,FRA,Cycling at the 1968 Summer Olympics - Men's Sprint,1,Daniel Morelon,216,26,264
31,FIN,Cross-Country Skiing at the 1976 Winter Olympics - Men's 15km,3,Arto Koivisto,169,29,301
32,IRL,Swimming at the 1996 Summer Olympics - Women's 200 metre individual medley,1,Michelle Smith,17,40,98
33,RUS,Wrestling at the 1996 Summer Olympics - Men's Freestyle Light Heavyweight,2,Makharbek Khadartsev,303,40,562
34,CAN,Canoeing at the 1984 Summer Olympics - Men's C-1 500 metres,1,Larry Cain,237,33,744
35,USA,Boxing at the 1924 Summer Olympics - Men's featherweight,2,Joseph Salas,201,8,672
36,EUA,Athletics at the 1964 Summer Olympics - Men's decathlon,3,Hans-Joachim Walde,155,24,684
37,RUS,Gymnastics at the 2012 Summer Olympics – Women's rhythmic group all-around,1,Ksenia Dudkina;Anastasia Bliznyuk;Karolina Sevastyanova;Uliana Donskova;Anastasia Nazarenko;Alina Makarenko,50,48,310
38,BEL,Sailing at the 2012 Summer Olympics – Women's Laser Radial class,3,Evi Van Acker,45,48,399
39,FRA,Weightlifting at the 1932 Summer Olympics - Men's Featherweight 60 kg,1,Raymond Suvigny,293,13,591
40,JPN,Judo at the 2008 Summer Olympics – Women's 52 kg,3,Misato Nakamura,302,46,283
41,ROU,Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Lightweight,2,?tefan Rusu,321,30,455
42,FIN,Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Lightweight,3,Edvard Westerlund,105,11,525
43,POL,Wrestling at the 1980 Summer Olympics - Men's freestyle Light Heavyweight,3,Aleksander Cicho?,250,32,562
44,UTA,Swimming at the 1992 Summer Olympics - Men's 200 metre backstroke,2,Vladimir Selkov,320,37,319
45,HUN,Gymnastics at the 1980 Summer Olympics – Men's pommel horse,1,Zoltan Magyar,135,32,306
46,JPN,Gymnastics at the 1968 Summer Olympics - Men's Floor Exercises,3,Takeshi Kato,77,26,511
47,USA,Athletics at the 1924 Summer Olympics - Men's javelin throw,3,Eugene Oberst,2,8,603
48,SWE,Tennis at the 1908 Summer Olympics - Women's Indoor Singles,3,Märtha Adlerstråhle,182,5,546
49,CAN,Rowing at the 2008 Summer Olympics - Men's eight,1,Jake Wetzel;Adam Kreek;James Andrew Byrnes;Malcolm Howard;Kevin Light;Ben Rutledge;Dominic Seiterle;Kyle Hamilton,251,46,427
50,USA,Athletics at the 1992 Summer Olympics - Women's heptathlon,1,Jackie Joyner-Kersee,192,37,248
51,PER,Volleyball at the 1988 Summer Olympics - Women's volleyball,2,Luisa Cervera;Cecilia Tait;Gina Torrealva;Cenaida Uribe;Miriam Gallardo;Sonia Heredia;Rosa Garcia;Katherine Horny;Natalia Malaga;Denisse Fajardo;Alejandra de la Guerra;Gabriela Pérez del Solar,268,36,103
52,USA,Football at the 2008 Summer Olympics - Women's tournament,1,Heather Mitts,177,46,299
53,OOO,Football at the 2008 Summer Olympics - Women's tournament,,Josefine Öqvist,177,46,299
54,FRA,Cycling at the 2000 Summer Olympics - Women's time trial,1,Félicia Ballanger,52,42,91
55,USA,Snowboarding at the 2006 Winter Olympics - Men's Halfpipe,1,Shaun White,116,45,743
56,GER,Triathlon at the 2000 Summer Olympics - Men's Triathlon,2,Stephan Vuckovic,199,42,125
57,AUT,Alpine skiing at the 2002 Winter Olympics – Women's combined,2,Renate Götschl,330,43,449
58,UKR,Weightlifting at the 2012 Summer Olympics – Women's 58 kg,3,Yuliya Kalina,47,48,126
59,TUR,Taekwondo at the 2012 Summer Olympics – Men's 68 kg,1,Servet Tazegül,284,48,642
60,DEN,Equestrian at the 2008 Summer Olympics - Team dressage,3,Andreas Helgstrand;Anne van Olst;Princess Nathalie of Sayn-Wittgenstein-Berleburg,4,46,712
61,GBR,Gymnastics at the 2012 Summer Olympics – Women's uneven bars,3,Beth Tweddle,281,48,257
62,EST,Rowing at the 2004 Summer Olympics - Men's Single Sculls,2,Jüri Jaanson,38,44,2
63,CHN,Gymnastics at the 1984 Summer Olympics - Men's Floor Exercises,2,Yun Lou,277,33,511
64,EUA,Athletics at the 1964 Summer Olympics - Men's pole vault,2,Wolfgang Reinhardt,270,24,587
65,RUS,Gymnastics at the 2012 Summer Olympics – Women's floor,3,Aliya Mustafina,229,48,45
66,GRE,Weightlifting at the 1996 Summer Olympics - Men's 54-59 kg,2,Leonidas Sampanis,264,40,549
67,BLR,Gymnastics at the 1996 Summer Olympics – Men's Vault,3,Vitaly Scherbo,223,40,654
68,GER,Equestrian at the 2008 Summer Olympics - Team dressage,1,Heike Kemmer;Nadine Capellmann;Isabell Werth,4,46,712
69,ESP,Basketball at the 2012 Summer Olympics – Men,2,Víctor Claver;José Calderón;Víctor Sada;Serge Ibaka;Fernando San Emeterio;Rudy Fernández;Marc Gasol;Sergio Rodríguez;Juan Carlos Navarro;Felipe Reyes;Pau Gasol;Sergio Llull,228,48,623
70,SUI,Alpine Skiing at the 1972 Winter Olympics - Men's Downhill,2,Roland Collombin,140,28,411
71,URS,Athletics at the 1956 Summer Olympics - Men's 50 km walk,2,Yevgeni Maskinskov,18,20,170
72,JPN,Gymnastics at the 1960 Summer Olympics – Men's rings,3,Takashi Ono,273,22,58
73,USA,Boxing at the 1924 Summer Olympics - Men's featherweight,1,Jackie Fields,201,8,672
74,TUR,Wrestling at the 1936 Summer Olympics - Men's Freestyle Middleweight,3,Ahmet Kireççi,226,14,371
75,CUB,Boxing at the 2008 Summer Olympics - Lightweight,3,Yordenis Ugas,3,46,97
76,BUL,Weightlifting at the 1996 Summer Olympics - Men's 54-59 kg,3,Nikolay Pechalov,264,40,549
77,USA,Swimming at the 2008 Summer Olympics - Men's 4 x 200 metre freestyle relay,1,Ryan Lochte;Michael Phelps;Peter Vanderkaay;Erik Vendt;David Walters;Klete Keller;Ricky Berens,13,46,144
78,RUS,Diving at the 2004 Summer Olympics - Women's 3 metre springboard,3,Ioulia Pakhalina,84,44,699
79,URS,Speed Skating at the 1984 Winter Olympics - Men's 1000m,2,Sergey Khlebnikov,163,34,292
80,URS,Speed Skating at the 1984 Winter Olympics - Men's 1000m,2,Sergey Khlebnikov,164,34,606
