teamID, name
1,Nikolay Morilov
1,Alexey Petukhov
5,Dara Torres
5,Amy Van Dyken
5,Courtney Shealy
5,Jenny Thompson
23,Romina Laurito
23,Elisa Blanchi
23,Anzhelika Savrayuk
23,Andreea Stefanescu
23,Elisa Santoni
23,Marta Pagnini
37,Ksenia Dudkina
37,Anastasia Bliznyuk
37,Karolina Sevastyanova
37,Uliana Donskova
37,Anastasia Nazarenko
37,Alina Makarenko
49,Jake Wetzel
49,Adam Kreek
49,James Andrew Byrnes
49,Malcolm Howard
49,Kevin Light
49,Ben Rutledge
49,Dominic Seiterle
49,Kyle Hamilton
51,Luisa Cervera
51,Cecilia Tait
51,Gina Torrealva
51,Cenaida Uribe
51,Miriam Gallardo
51,Sonia Heredia
51,Rosa Garcia
51,Katherine Horny
51,Natalia Malaga
51,Denisse Fajardo
51,Alejandra de la Guerra
51,Gabriela Pérez del Solar
60,Andreas Helgstrand
60,Anne van Olst
60,Princess Nathalie of Sayn-Wittgenstein-Berleburg
68,Heike Kemmer
68,Nadine Capellmann
68,Isabell Werth
69,Víctor Claver
69,José Calderón
69,Víctor Sada
69,Serge Ibaka
69,Fernando San Emeterio
69,Rudy Fernández
69,Marc Gasol
69,Sergio Rodríguez
69,Juan Carlos Navarro
69,Felipe Reyes
69,Pau Gasol
69,Sergio Llull
77,Ryan Lochte
77,Michael Phelps
77,Peter Vanderkaay
77,Erik Vendt
77,David Walters
77,Klete Keller
77,Ricky Berens
151,Andrew Nicholson
151,Jonathan Paget
151,Jonelle Richards
151,Caroline Powell
151,Mark Todd
174,Sophie Hosking
174,Katherine Copeland
190,Tatiana Ortiz
190,Paola Espinosa
245,Fang Yuting
245,Cheng Ming
245,Xu Jing
263,Rebecca Ward
263,Mariel Zagunis
263,Sada Jacobson
268,Nick Ffrost
268,Leith Brodie
268,Grant Hackett
268,Grant Brits
268,Kirk Palmer
268,Patrick Murphy
274,Wang Xin
274,Chen Ruolin
276,Kevin Kuske
276,Enrico Kühn
276,Carsten Embach
276,André Lange
301,Rare? Dumitrescu
301,Florin Zalomir
301,Tiberiu Dolniceanu
301,Alexandru Siriteanu
341,Huang Wenyi
341,Xu Dongxiang
343,Cai Yun
343,Fu Haifeng
345,Axel Teichmann
345,Tim Tscharnke
347,Christina Giazitzidou
347,Alexandra Tsiavou
357,Frederick Pollard
357, Jr.
387,Hermann Martens
387,Max Götze
387,Rudolf Katzer
387,Karl Neumer
407,Briony Cole
407,Melissa Wu
420,Leonard Meredith
420,Clarence Kingsbury
420,Benjamin Jones
420,Ernest Payne
423,Vasileios Polymeros
423,Dimitrios Mougios
440,Doug Sharp
440,Mike Kohn
440,Brian Shimer
440,Dan Steele
454,Halyna Pundyk
454,Olha Zhovnir
454,Olga Kharlan
454,Olena Khomrova
484,Petter Northug
484,Øystein Pettersen
492,Ruthie Bolton
492,Nikki McCray
492,Sheryl Swoopes
492,Dawn Staley
492,Lisa Leslie
492,Yolanda Griffith
492,Teresa Edwards
492,Kara Wolters
492,DeLisha Milton-Jones
492,Chamique Holdsclaw
492,Katie Smith
492,Natalie Williams
536,Mark Hunter
536,Zac Purchase
563,Dimitrij Ovtcharov
563,Bastian Steger
563,Timo Boll
581,Hans Peter Minderhoud
581,Imke Bartels
588,Kaori Kawanaka
588,Ren Hayakawa
588,Miki Kanie
589,Kristina Cook
589,Zara Phillips
589,Mary King
589,Nicola Wilson
589,William Fox-Pitt
591,Hendra Setiawan
591,Markis Kido
593,Luigi Samele
593,Aldo Montano
