RUS,274,3
ITA,271,3
BUL,12,2
SWE,257,1
USA,79,1
USA,296,3
ESP,248,2
FIN,102,1
ROU,53,2
FRA,11,3
POL,159,1
USA,60,2
TCH,43,2
FRA,198,3
RUS,299,1
UTA,238,1
CAN,288,2
CAN,184,3
URS,112,1
SWE,170,3
EUA,270,3
ITA,101,2
ITA,50,3
AUS,179,3
BLR,207,2
GER,125,1
YUG,176,1
USA,174,1
BUL,279,2
FRA,216,1
FIN,169,3
IRL,17,1
RUS,303,2
CAN,237,1
USA,201,2
EUA,155,3
RUS,50,1
BEL,45,3
FRA,293,1
JPN,302,3
ROU,321,2
FIN,105,3
POL,250,3
UTA,320,2
HUN,135,1
JPN,77,3
USA,2,3
SWE,182,3
CAN,251,1
USA,192,1
PER,268,2
USA,177,1
OOO,177,
FRA,52,1
USA,116,1
GER,199,2
AUT,330,2
UKR,47,3
TUR,284,1
DEN,4,3
GBR,281,3
EST,38,2
CHN,277,2
EUA,270,2
RUS,229,3
GRE,264,2
BLR,223,3
GER,4,1
ESP,228,2
SUI,140,2
URS,18,2
JPN,273,3
USA,201,1
TUR,226,3
CUB,3,3
BUL,264,3
USA,13,1
RUS,84,3
URS,163,2
URS,164,2
GDR,220,1
CAN,288,1
GDR,41,3
UKR,239,3
GDR,29,1
VEN,32,3
ARG,220,3
POL,61,3
URS,108,2
SWE,59,3
JPN,33,2
FRA,231,2
PRK,302,2
SWE,22,2
URS,12,1
TCH,82,1
RUS,207,3
CZE,234,1
DEN,255,3
CUB,65,1
USA,213,1
RSA,313,2
GER,192,3
KEN,311,3
UTA,166,1
ITA,222,1
USA,85,1
URS,121,2
GER,94,2
USA,324,2
SUI,43,1
ITA,70,1
HUN,203,1
HUN,54,3
JPN,314,3
ALG,302,3
NOR,193,2
NOR,194,2
GDR,113,1
GDR,114,1
NOR,296,2
RUS,74,3
JPN,100,3
ITA,74,2
FRA,309,2
GBR,25,3
GER,293,2
EST,225,1
USA,316,2
ITA,126,3
AUS,172,3
GER,330,3
GDR,119,2
GBR,22,3
NGR,127,3
JPN,39,3
CHN,264,1
CUB,267,1
GRE,239,1
SVK,92,3
CHN,45,1
KEN,48,2
CHN,174,2
JAM,127,2
KAZ,253,3
CZE,285,2
CHN,281,2
ISL,122,
GER,92,2
RSA,93,2
NZL,282,3
ARM,287,2
OOO,177,
RSA,179,2
KOR,129,1
NOR,131,2
USA,260,2
GBR,255,1
FRA,176,3
RSA,308,3
USA,221,1
BUL,112,2
UTA,166,3
YUG,210,1
URS,162,2
ROU,291,2
SWE,65,3
UTA,190,1
OOO,177,
OOO,177,
USA,88,3
GER,202,3
OOO,177,
GBR,230,1
USA,235,1
LTU,287,3
USA,81,1
AUS,297,2
KAZ,214,2
ARG,90,
JPN,57,1
TCH,146,1
AUT,106,3
URS,117,2
FRA,109,1
USA,138,1
FRA,205,1
GER,137,3
URS,169,2
MEX,44,3
USA,226,2
KOR,57,2
USA,219,2
USA,309,3
NOR,34,1
NOR,35,1
ISR,317,1
USA,81,3
CHN,302,1
URS,128,2
VEN,90,
FRA,277,3
GBR,276,1
CUB,326,1
CHI,90,
EGY,328,3
DEN,24,2
JPN,90,
SUI,276,2
ITA,90,1
USA,51,1
AUS,157,3
JPN,202,3
GBR,6,1
NOR,118,1
USA,157,2
USA,88,2
SYR,328,3
JPN,128,1
GBR,182,2
PRK,174,3
GBR,87,3
GRE,12,3
URS,321,1
JPN,189,2
GDR,217,2
BEL,90,
URS,185,3
USA,218,3
URS,19,1
CAN,248,3
GER,103,2
ITA,16,3
USA,203,3
TUR,144,1
USA,96,3
ITA,62,3
AUS,156,1
JPN,100,1
URS,82,3
POL,242,2
GER,76,3
GDR,142,3
SWE,24,1
CHN,280,2
POL,227,1
JPN,288,3
SWE,76,1
JPN,262,3
BEL,214,
GDR,184,2
GDR,55,3
HUN,291,1
JPN,234,2
URS,55,1
USA,75,1
BUL,185,1
USA,204,3
FIN,221,2
FRA,83,2
SWE,87,2
OOO,177,
USA,37,3
USA,36,2
IRI,303,1
ROU,54,2
SWE,130,3
AUS,13,3
CUB,269,2
SUI,296,1
UZB,129,2
FIN,23,2
THA,47,2
CHN,44,1
USA,40,3
GER,289,1
OOO,177,
RUS,138,3
GER,70,2
FIN,80,1
ARM,3,3
SWE,265,1
POL,267,3
USA,41,1
ROU,136,3
USA,293,3
JPN,27,2
CAN,297,3
CUB,86,1
NED,90,
SWE,115,1
SWE,122,2
GER,129,3
USA,197,2
FRA,168,1
KOR,268,
POL,134,1
POL,94,3
ROU,142,1
URS,64,2
ROU,49,2
ROU,279,1
GBR,222,2
USA,86,3
URS,232,2
USA,254,2
GER,204,1
ROU,71,1
UTA,256,1
GDR,250,2
FRA,16,2
ESP,320,1
CAN,113,2
CAN,114,2
BUL,292,1
AUS,157,1
URS,133,3
NZL,18,1
BEL,143,3
CUB,198,2
AUS,196,2
GBR,25,1
BUL,51,2
GER,141,3
USA,272,3
UTA,63,3
GER,105,2
FIN,59,1
NED,1,1
RUS,260,3
HUN,304,2
FRA,226,1
USA,132,1
ROU,54,1
GER,111,3
GER,175,2
HUN,26,2
GBR,104,3
SRB,154,1
GBR,139,2
CHN,230,2
OOO,177,
CHN,195,2
CAN,199,1
GER,274,2
ITA,295,2
GRE,230,3
RUS,66,3
KOR,326,3
RUS,68,2
USA,150,1
CHI,300,2
SUI,94,1
USA,21,3
URS,275,3
FRA,240,2
USA,149,3
USA,249,1
URS,82,2
UTA,219,1
AUT,125,3
NOR,62,1
RUS,3,1
USA,80,2
USA,36,1
FRA,175,3
USA,93,1
GBR,6,3
UKR,325,3
USA,42,3
USA,247,2
JPN,286,2
USA,98,1
CHN,91,1
RUS,262,2
BLR,68,1
TUN,311,1
USA,238,3
USA,275,1
URS,53,1
SWE,200,3
PRK,165,3
CZE,5,1
KOR,278,1
GBR,23,3
NOR,310,3
GER,153,2
UKR,242,1
USA,188,2
KOR,69,1
KOR,121,3
SUI,140,1
SWE,305,1
FIN,236,2
USA,156,2
USA,191,1
SWE,31,1
USA,10,2
URS,144,2
TUR,115,3
FIN,185,2
JPN,128,3
USA,193,2
USA,194,2
FIN,236,1
NZL,231,1
AUS,44,2
FIN,259,2
URS,15,1
NED,130,1
MEX,61,3
JPN,77,1
NZL,263,3
GER,90,3
FRA,97,3
TCH,186,2
GBR,71,2
ITA,11,1
USA,257,3
GBR,153,1
NZL,25,2
JPN,138,2
GRE,301,2
OOO,177,
URS,218,1
GER,106,2
GDR,135,3
EGY,240,1
YUG,252,1
NOR,95,1
CRO,330,1
USA,312,1
HUN,95,3
GBR,149,2
CHN,178,3
GBR,326,2
SWE,2,2
PRK,91,2
OOO,177,
USA,289,3
NOR,259,3
SWE,305,2
PRK,197,1
POL,98,2
JAM,90,
DEN,90,
CAN,90,
HUN,232,1
ARG,298,2
POL,315,1
SUI,171,3
KEN,48,3
FRA,246,3
UKR,37,1
FRA,92,1
GRE,322,2
CRO,150,2
EUA,155,1
GBR,249,3
EUA,318,2
NED,158,1
AUT,204,2
EUA,15,3
GDR,134,3
FRA,143,1
FIN,305,3
POL,318,3
URS,306,1
FRA,75,3
AUT,150,3
KOR,39,2
BUL,206,1
FRA,139,3
OOO,177,
GDR,268,
CUB,7,1
GRE,317,2
GBR,57,3
DEN,237,2
UKR,20,2
ROU,229,2
GRE,8,1
FIN,116,3
NOR,274,1
URS,273,2
USA,14,2
FRA,88,1
EUA,132,2
ROU,239,2
USA,117,3
IRI,227,3
USA,147,1
USA,229,1
UZB,253,1
AUS,90,2
FIN,232,3
GER,22,1
JPN,254,3
GDR,222,3
USA,10,1
TUR,9,3
AUS,52,2
RUS,154,3
GER,244,3
KOR,198,3
CHN,325,1
UKR,299,2
AUS,323,2
RUS,5,3
URS,161,2
URS,71,3
USA,1,2
ESP,300,1
URS,100,2
FIN,203,2
SUI,72,2
FIN,2,1
URS,73,3
USA,97,2
AUT,241,2
USA,308,2
CHN,96,1
FIN,167,2
URS,59,2
URS,15,2
BUL,53,3
NOR,62,2
FIN,161,1
USA,160,2
SWE,146,3
URS,58,1
POL,161,3
GDR,119,3
LUX,11,2
GBR,319,1
GBR,301,1
UZB,180,1
USA,263,
YUG,120,3
HUN,200,2
AUT,241,3
ROU,26,3
FRA,216,3
FRA,131,1
POL,148,2
GER,69,2
POL,118,2
TUR,238,2
USA,113,3
USA,114,3
CHN,17,3
USA,316,3
WGE,124,3
FIN,306,3
URS,32,2
URS,206,2
FIN,90,
NZL,318,1
NOR,28,1
SWE,67,2
ROU,19,2
FIN,167,3
GER,283,3
OOO,177,
PRK,30,1
IRI,284,2
USA,307,1
USA,139,1
FRA,154,2
ETH,48,1
USA,116,2
MGL,244,2
GER,312,2
GBR,215,1
JPN,272,1
KOR,278,3
USA,324,1
USA,329,2
BEL,102,2
NED,290,2
NED,4,2
OOO,177,
URS,314,1
IRL,165,2
USA,329,1
WGE,160,3
OOO,177,
