Athletics at the 1984 Summer Olympics - Women's Discus Throw,33,196
Athletics at the 1924 Summer Olympics - Men's javelin throw,8,603
Boxing at the 2008 Summer Olympics - Lightweight,46,97
Equestrian at the 2008 Summer Olympics - Team dressage,46,712
Shooting at the 2008 Summer Olympics - Men's Trap,46,627
Swimming at the 2008 Summer Olympics - Women's 400 metre freestyle,46,649
Weightlifting at the 1996 Summer Olympics - Men's Middleweight 70-76 kg,40,580
Weightlifting at the 1996 Summer Olympics - Men's Light Weightlifting 76- 83 kg,40,514
Wrestling at the 2000 Summer Olympics - Men's Freestyle Welterweight,42,332
Swimming at the 1924 Summer Olympics - Women's 400 metre freestyle,8,649
Weightlifting at the 1920 Summer Olympics - Men's Heavyweight +82.5 kg,7,48
Wrestling at the 1980 Summer Olympics - Men's Freestyle Featherweight,32,369
Swimming at the 2008 Summer Olympics - Men's 4 x 200 metre freestyle relay,46,144
Diving at the 1956 Summer Olympics - Men's 10 metre platform,20,719
Athletics at the 1956 Summer Olympics - Women's shot put,20,554
Gymnastics at the 1912 Summer Olympics - Men's artistic individual all-around,6,584
Swimming at the 1996 Summer Olympics - Women's 200 metre individual medley,40,98
Athletics at the 1956 Summer Olympics - Men's 50 km walk,20,170
Athletics at the 1988 Summer Olympics - Women's 3000 metres,36,241
Swimming at the 2000 Summer Olympics - Women's 800 metre freestyle,42,656
Athletics at the 1904 Summer Olympics - Men's 800 metres,3,414
Swimming at the 1912 Summer Olympics - Men's 400 metre breaststroke,6,492
Athletics at the 1992 Summer Olympics - Men's javelin throw,37,603
Shooting at the 2000 Summer Olympics - Men's 50 metre rifle; prone,42,52
Cycling at the 2008 Summer Olympics - Men's individual pursuit,46,190
Canoeing at the 1976 Summer Olympics - Men's K-1 1000 metres,30,282
Fencing at the 2008 Summer Olympics - Men's Foil; Individual,46,96
Speed Skating at the 1928 Winter Olympics - Men's 5000m,10,583
Swimming at the 1980 Summer Olympics - Women's 200 metre freestyle,32,309
Wrestling at the 1996 Summer Olympics - Men's freestyle Light Flyweight,40,558
Swimming at the 1980 Summer Olympics - Men's 100 metre butterfly,32,652
Athletics at the 1952 Summer Olympics - Men's triple jump,18,641
Swimming at the 1932 Summer Olympics - Women's 200 metre breaststroke,13,95
Speed Skating at the 1936 Winter Olympics - Men's 500m,15,219
Speed Skating at the 1936 Winter Olympics - Men's 500m,15,769
Shooting at the 1920 Summer Olympics - Men's 50 metre small-bore rifle,7,358
Fencing at the 2008 Summer Olympics - Women's team sabre,46,612
Rowing at the 2004 Summer Olympics - Men's Single Sculls,44,2
Wrestling at the 1984 Summer Olympics - Men's freestyle Flyweight,33,374
Cycling at the 2008 Summer Olympics - Men's Individual Time Trial,46,25
Athletics at the 1988 Summer Olympics - Women's heptathlon,36,248
Swimming at the 2008 Summer Olympics - Men's 400 metre individual medley,46,46
Gymnastics at the 1924 Summer Olympics - Men's parallel bars,8,666
Diving at the 2008 Summer Olympics - Women's Synchronised 10m Platform,46,747
Sailing at the 2012 Summer Olympics – Women's Laser Radial class,48,399
Athletics at the 2012 Summer Olympics – Men's discus throw,48,60
Weightlifting at the 2012 Summer Olympics – Women's 58 kg,48,126
Athletics at the 2012 Summer Olympics – Women's 10;000 metres,48,247
Fencing at the 2012 Summer Olympics - Men's team sabre,48,271
Gymnastics at the 2012 Summer Olympics – Women's rhythmic group all-around,48,310
Shooting at the 1964 summer Olympics - Men's 50 metre rifle; three positions,24,697
Cycling at the 2000 Summer Olympics - Women's time trial,42,91
Athletics at the 1972 Summer Olympics - Women's Discus Throw,27,196
Gymnastics at the 1976 Summer Olympics – Women's Uneven Bars,30,257
Gymnastics at the 1972 Summer Olympics – Women's balance beam,27,707
Biathlon at the 1998 Winter Olympics - Men's 20 km Individual,41,295
Judo at the 1984 Summer Olympics - Men's Extra Lightweight (-60kg),33,705
Cross Country Skiing at the 1960 Winter Olympics - Women's 10km,21,67
Wrestling at the 1952 Summer Olympics - Men's Greco-Roman Light Heavyweight,18,355
Alpine Skiing at the 1994 Winter Olympics - Women's Downhill,39,497
Boxing at the 1976 Summer Olympics - Featherweight,30,387
Cross Country Skiing at the 1992 Winter Olympics - Men's 15km Pursuit,38,457
Gymnastics at the 1992 Summer Olympics – Women's Vault,37,150
Shooting at the 1972 Summer Olympics - Men's Skeet,27,164
Boxing at the 1972 Summer Olympics - Heavyweight,27,113
Shooting at the 2004 Summer Olympics - Men's 10 metre air pistol,44,104
Modern Pentathlon at the 1984 Summer Olympics - Men's Individual,33,398
Athletics at the 2000 Summer Olympics – Women's shot put,42,554
Speed skating at the 2010 Winter Olympics – Women's 500 metres,47,69
Alpine Skiing at the 1994 Winter Olympics - Women's Giant Slalom,39,396
Athletics at the 1968 Summer Olympics - Women's Long Jump,26,128
Alpine Skiing at the 1972 Winter Olympics - Men's Giant Slalom,28,501
Wrestling at the 1960 Summer Olympics - Men's Freestyle Heavyweight,22,619
Cross Country Skiing at the 1998 Winter Olympics - Women's 30km Freestyle,41,537
Swimming at the 1948 Summer Olympics - Men's 100 metre backstroke,16,47
Biathlon at the 2006 Winter Olympics – Women's mass start,45,768
Gymnastics at the 1968 Summer Olympics - Men's Floor Exercises,26,511
Wrestling at the 1960 Summer Olympics - Freestyle Welterweight,22,289
Swimming at the 2000 Summer Olympics - Women's 4x100 metre freestyle relay,42,338
Athletics at the 1912 Summer Olympics - Men's 10000 metres,6,251
Diving at the 1984 Summer Olympics - Men's 3 metre springboard,33,710
Athletics at the 1956 Summer Olympics - Women's Discus Throw,20,196
Athletics at the 1920 Summer Olympics - Men's 10000 metres,7,251
Diving at the 2004 Summer Olympics - Women's 3 metre springboard,44,699
Athletics at the 1956 Summer Olympics - Men's 200 metres,20,157
Fencing at the 1904 Summer Olympics - Men's singlestick,3,408
Diving at the 1924 Summer Olympics - Men's plain high diving,8,423
Gymnastics at the 2004 Summer Olympics - Women's Uneven Bars,44,257
Diving at the 1984 Summer Olympics - Women's 10 metre platform,33,305
Cycling at the 1952 Summer Olympics - Men's sprint,18,264
Weightlifting at the 2004 Summer Olympics - Women's 58 kg,44,126
Canoeing at the 2012 Summer Olympics – Men's slalom C-1,48,416
Swimming at the 2012 Summer Olympics – Men's 100 metre butterfly,48,652
Ski jumping at the 2002 Winter Olympics - Normal Hill,43,566
Weightlifting at the 1972 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,27,739
Gymnastics at the 1984 Summer Olympics – Men's rings,33,58
Athletics at the 1900 Summer Olympics - Men's standing long jump,2,110
Archery at the 1972 Summer Olympics – Women's individual,27,487
Shooting at the 1972 Summer Olympics - Men's 50 metre pistol,27,403
Gymnastics at the 1976 Summer Olympics – Men's parallel bars,30,666
Fencing at the 1932 Summer Olympics - Men's Sabre; Individual,13,148
Athletics at the 1972 Summer Olympics - Men's 10000 metres,27,251
Biathlon at the 1992 Winter Olympics - Men's 10km Sprint,38,320
Athletics at the 1968 Summer Olympics - Men's 400 metre hurdles,26,646
Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Lightweight,11,525
Equestrian at the 1936 Summer Olympics - Dressage; Individual,14,232
Cross-Country Skiing at the 1968 Winter Olympics - Men's 30 km,25,593
Cross Country Skiing at the 1976 Winter Olympics - Women's 5km,29,375
Gymnastics at the 1900 Summer Olympics - Men's artistic individual all-around,2,584
Fencing at the 1976 Summer Olympics - Women's Foil; Individual,30,65
Fencing at the 1928 Summer Olympics - Women's Foil; Individual,11,65
Weightlifting at the 1976 Summer Olympics - Men's Heavyweight  90-110 kg,30,187
Figure Skating at the 1988 Winter Olympics -Women's Singles,35,61
Figure Skating at the 1988 Winter Olympics -Women's Singles,35,191
Wrestling at the 1952 Summer Olympics - Men's Freestyle Light Heavyweight,18,32
Snowboarding at the 2006 Winter Olympics - Men's Halfpipe,45,743
Swimming at the 1968 Summer Olympics – Men's 200 metre breaststroke,26,4
Cross-country skiing at the 2010 Winter Olympics – Women's 15 kilometre pursuit,47,87
Swimming at the 1988 Summer Olympics – Women's 200 metre backstroke,36,442
Shooting at the 1988 Summer Olympics - Women's 25 metre pistol,36,555
Wrestling at the 1976 Summer Olympics - Men's freestyle Flyweight,30,374
Handball at the 1992 Summer Olympics - Men's tournament,37,689
Gymnastics at the 1928 Summer Olympics - Men's Vault,11,654
athletics at the 1968 Summer Olympics - Men's Decathlon,26,684
Alpine Skiing at the 1960 Winter Olympics - Women's Downhill,21,497
Wrestling at the 1956 Summer Olympics - Greco-Roman Heavyweight,20,356
Athletics at the 1996 Summer Olympics - Women's 200 metres,40,716
Weightlifting at the 1968 Summer Olympics - Men's Featherweight 56-60 kg,26,575
Judo at the 1996 Summer Olympics - Men's Middleweight (86kg),40,728
Speed Skating at the 1972 Winter Olympics - Men's 1500m,28,359
Biathlon at the 2010 Winter Olympics – Men's sprint,47,320
Athletics at the 1956 Summer Olympics - Men's 400 metres,20,665
Wrestling at the 1956 Summer Olympics - Men's Freestyle Bantamweight,20,532
Athletics at the 1972 Summer Olympics - Shot Put Men,27,660
Gymnastics at the 1980 Summer Olympics – Men's pommel horse,32,306
Gymnastics at the 1984 Summer Olympics – Women's vault,33,150
Table Tennis at the 1996 Summer Olympics - Men's Singles,40,158
Swimming at the 2012 Summer Olympics – Women's 200 metre breaststroke,48,95
Judo at the 2012 Summer Olympics – Women's 78 kg,48,39
Alpine Skiing at the 1972 Winter Olympics - Men's Downhill,28,411
Biathlon at the 1994 Winter Olympics - Men's 20km Individual,39,295
Rowing at the 1980 Summer Olympics - Women's Single Sculls,32,124
Fencing at the 1924 Summer Olympics – Men's foil,8,96
Wrestling at the 1960 Summer Olympics - Men's Freestyle Middleweight,22,31
Speed Skating at the 1992 Winter Olympics - Women's 3000m,38,391
Athletics at the 1952 Summer Olympics - Men's Marathon,18,661
Basketball at the 2000 Summer Olympics - Women,42,471
Ski jumping at the 2010 Winter Olympics – Normal hill individual,47,566
Athletics at the 1936 Summer Olympics – Men's 110 metre hurdles,14,38
Alpine skiing at the 2006 Winter Olympics - Men's Combined,45,394
Ice hockey at the 2002 Winter Olympics,43,269
Swimming at the 1976 Summer Olympics - Men's 200 metre backstroke,30,319
Cycling at the 1908 Summer Olympics - Men's team pursuit,5,645
Taekwondo at the 2012 Summer Olympics – Women's +67 kg,48,143
Athletics at the 1964 Summer Olympics - Men's decathlon,24,684
Swimming at the 1968 Summer Olympics – Men's 200 metre freestyle,26,236
Swimming at the 1964 Summer Olympics – Men's 1500 metre freestyle,24,704
Speed Skating at the 1988 Winter Olympics - Women's 5000m,35,101
Modern Pentathlon at the 1976 Summer Olympics - Men's Individual,30,398
Shooting at the 1976 Summer Olympics - 50m Rifle Three Positions,30,464
Weightlifting at the 1968 Summer Olympics - Men's Middle Heavyweight  82.5-90 kg,26,479
Wrestling at the 1956 Summer Olympics - Men's Freestyle Light Heavyweight,20,32
Speed Skating at the 1984 Winter Olympics - Men's 1000m,34,292
Speed Skating at the 1984 Winter Olympics - Men's 1000m,34,606
Boxing at the 1992 Summer Olympics - Bantamweight,37,326
Gymnastics at the 1992 Summer Olympics – Men's artistic individual all-around,37,584
Wrestling at the 1924 Summer Olympics - Men's Greco-Roman Bantamweight,8,530
Biathlon at the 2006 Winter Olympics – Men's pursuit,45,278
Cross-Country Skiing at the 1976 Winter Olympics - Men's 15km,29,301
Cross Country Skiing at the 1984 Winter Olympics - Men's 30km,34,593
Alpine skiing at the 2010 Winter Olympics – Men's Super Combined,47,557
Alpine Skiing at the 1998 Winter Olympics -Women's Slalom,41,733
Boxing at the 2000 Summer Olympics - Heavyweight,42,446
Short Track Speed Skating at the 1992 Winter Olympics - Women's 500m,38,294
Alpine skiing at the 1936 Winter Olympics - Men's combined,15,394
Gymnastics at the 1924 Summer Olympics - Men's Horizontal Bar,8,701
Football at the 2008 Summer Olympics - Women's tournament,46,299
Gymnastics at the 2008 Summer Olympics - Women's Vault,46,150
Swimming at the 2004 Summer Olympics - Men's 100 metre freestyle,44,698
Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Welterweight,44,635
Athletics at the 1960 Summer Olympics - Women's high jump,22,231
Tennis at the 1908 Summer Olympics - Women's Indoor Singles,5,546
Table Tennis at the 2008 Summer Olympics - Women's Singles,46,238
Athletics at the 1988 Summer Olympics - Men's Decathlon,36,684
Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Light Heavyweight,36,517
Gymnastics at the 1924 Summer Olympics – Men's rings,8,58
Tennis at the 2008 Summer Olympics - Women's Singles,46,470
Athletics at the 2004 Summer Olympics - Men's 400 metres,44,665
Wrestling at the 1988 Summer Olympics - Men's freestyle Light Heavyweight,36,562
Wrestling at the 1992 Summer Olympics - Men's Freestyle Lightweight,37,218
Swimming at the 1920 Summer Olympics - Men's 400 metre freestyle,7,6
Athletics at the 1992 Summer Olympics - Women's heptathlon,37,248
Speed skating at the 1948 Winter Olympics - Men's 500m,17,219
Speed skating at the 1948 Winter Olympics - Men's 500m,17,769
Badminton at the 2008 Summer Olympics - Men's doubles,46,631
Swimming at the 2008 Summer Olympics - Men's 200 metre breaststroke,46,4
Wrestling at the 1992 Summer Olympics - Men's freestyle Flyweight,37,374
Judo at the 2008 Summer Olympics – Women's 78 kg,46,39
Triathlon at the 2000 Summer Olympics - Men's Triathlon,42,125
Canoeing at the 1960 Summer Olympics - Men's K-1 1000 metres,22,282
Boxing at the 1924 Summer Olympics - Men's featherweight,8,672
Swimming at the 2004 Summer Olympics - Women's 200 metre backstroke,44,442
Shooting at the 1924 Summer Olympics - Trap,8,22
Canoeing at the 1936 Summer Olympics - Men's K-1 10000 metres,14,160
Alpine skiing at the 1948 Winter Olympics - Men's combined,17,394
Athletics at the 1976 Summer Olympics - Women's shot put,30,554
Freestyle Skiing at the 2006 Winter Olympics – Men's Aerials,45,448
Speed Skating at the 1960 Winter Olympics - Women's 1500m,21,192
Speed Skating at the 1960 Winter Olympics - Women's 1500m,21,279
Gymnastics at the 1964 Summer Olympics - Men's pommel horse,24,306
Diving at the 1912 Summer Olympics - Men's plain high diving,6,423
Swimming at the 2000 Summer Olympics - Men's 4x200 metre freestyle relay,42,144
Athletics at the 1912 Summer Olympics - Men's 110 metre hurdles,6,38
Cycling at the 2000 Summer Olympics - Men's individual road race,42,149
Wrestling  at the 1936 Summer Olympics - Men's Freestyle Lightweight,14,265
Cycling at the 1968 Summer Olympics - Men's Sprint,26,264
Gymnastics at the 1972 Summer Olympics – Women's uneven bars,27,257
Athletics at the 1972 Summer Olympics - Men's High Jump,27,166
Gymnastics at the 1992 Summer Olympics – Women's Balance Beam,37,707
Boxing at the 1968 Summer Olympics - Welterweight,26,548
Shooting at the 1960 Summer Olympics -Men's 25 metre rapid fire pistol,22,509
Judo at the 1980 Summer Olympics - Men's Lightweight (71kg),32,625
Gymnastics at the 1996 Summer Olympics – Men's Vault,40,654
Wrestling at the 1928 Summer Olympics - Men's Freestyle Lightweight,11,265
Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Featherweight,11,116
Wrestling at the 1936 Summer Olympics - Men's Freestyle Middleweight,14,371
Weightlifting at the 2012 Summer Olympics – Men's 85 kg,48,703
Basketball at the 2012 Summer Olympics – Men,48,623
Gymnastics at the 2012 Summer Olympics – Women's floor,48,45
Rowing at the 2012 Summer Olympics – Women's lightweight double sculls,48,755
Sailing at the 2008 Summer Olympics - Men's sailboard,46,303
Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Welterweight,32,495
Wrestling at the 1996 Summer Olympics - Men's Freestyle Bantamweight,40,532
Shooting at the 1992 Summer Olympics - Trap,37,22
Athletics at the 2004 Summer Olympics - Men's 200 metres,44,157
Athletics at the 1924 Summer Olympics - Men's 5000 metres,8,505
Canoeing at the 1984 Summer Olympics - Men's C-1 500 metres,33,744
