USA,1,1
AUT,1,2
JPN,3,1
JPN,3,2
USA,4,1
GRE,4,2
FRA,4,3
AUS,4,4
URS,5,1
MEX,6,1
USA,6,2
FRA,6,3
MEX,6,4
USA,6,5
NED,6,6
FRA,6,7
AUS,6,8
NED,6,9
RUS,7,1
ITA,7,2
AUS,7,3
GBR,7,4
AUT,7,5
USA,7,6
CAN,7,7
NED,7,8
JPN,7,9
NED,8,1
USA,8,2
AUS,9,1
FRA,9,2
ITA,9,3
FRA,9,4
USA,9,5
NED,9,6
GBR,9,7
FRA,10,1
USA,10,2
BRA,10,3
USA,10,4
GRE,10,5
RUS,10,6
BRA,10,7
URS,11,1
SUI,11,2
WGE,11,3
CAN,13,1
GBR,13,2
GER,13,3
RUS,13,4
USA,13,5
FRA,14,1
AUT,15,1
ESP,15,2
USA,15,3
AUS,15,4
USA,17,1
ITA,17,2
FRA,17,3
USA,17,4
FRA,17,5
SUI,17,6
USA,17,7
USA,19,1
GER,19,2
NOR,19,3
BRA,19,4
AUS,19,5
GER,19,6
ITA,19,7
AUT,19,8
KOR,20,1
FRA,20,2
ITA,22,1
ITA,22,2
USA,22,3
USA,22,4
JPN,23,1
ITA,23,2
USA,23,3
YUG,23,4
NOR,23,5
FRA,24,1
AUS,24,2
ITA,24,3
USA,25,1
NOR,25,2
MEX,25,3
MEX,25,4
ITA,25,5
WGE,25,6
CAN,25,7
JPN,25,8
MEX,25,9
CAN,26,1
NED,27,1
GBR,27,2
GER,27,3
ITA,27,4
SWE,27,5
FIN,27,6
RUS,28,1
USA,29,1
RUS,29,2
USA,30,1
JPN,30,2
AUT,31,1
USA,31,2
USA,31,3
CAN,31,4
FRA,31,5
USA,31,6
JPN,33,1
URS,33,2
CAN,33,3
ESP,33,4
ITA,33,5
NOR,33,6
KOR,34,1
MEX,34,2
WGE,34,3
FIN,34,4
FRA,34,5
AUT,34,6
USA,35,1
MEX,35,2
KOR,35,3
RUS,36,1
AUS,36,2
AUT,36,3
FRA,36,4
AUT,36,5
CAN,36,6
FRA,36,7
USA,38,1
FRA,38,2
GRE,38,3
ESP,38,4
CAN,38,5
MEX,38,6
FRA,39,1
KOR,39,2
CHN,39,3
NED,39,4
FRA,39,5
FRA,39,6
GBR,39,7
CAN,39,8
NOR,39,9
GBR,40,1
AUT,40,2
JPN,41,1
AUS,41,2
NED,41,3
CHN,41,4
JPN,41,5
AUT,41,6
FIN,41,7
MEX,41,8
GER,42,1
GRE,42,2
URS,42,3
ITA,42,4
RUS,42,5
USA,42,6
JPN,43,1
GER,44,1
ITA,44,2
USA,44,3
YUG,44,4
RUS,44,5
AUT,44,6
FRA,44,7
KOR,44,8
AUT,44,9
FRA,45,1
JPN,45,2
USA,45,3
FRA,45,4
JPN,45,5
JPN,45,6
USA,46,1
NOR,46,2
FRA,46,3
BRA,46,4
NED,46,5
CHN,48,1
WGE,48,2
FRA,48,3
AUS,48,4
USA,48,5
NED,48,6
AUT,48,7
ITA,49,1
NOR,49,2
FRA,49,3
CAN,49,4
SUI,49,5
AUT,49,6
JPN,49,7
CAN,49,8
ITA,50,1
YUG,50,2
SUI,50,3
ITA,50,4
JPN,50,5
ESP,50,6
USA,51,1
USA,51,2
NOR,51,3
KOR,51,4
GBR,51,5
AUT,51,6
USA,52,1
ITA,52,2
FIN,52,3
FRA,52,4
MEX,52,5
USA,53,1
SWE,53,2
AUS,53,3
RUS,53,4
AUT,53,5
USA,53,6
USA,53,7
BRA,54,1
CAN,54,2
GRE,55,1
CAN,55,2
NOR,55,3
YUG,55,4
USA,55,5
FRA,55,6
CAN,56,1
AUT,56,2
URS,57,1
RUS,57,2
URS,57,3
CAN,57,4
NED,57,5
NOR,57,6
YUG,58,1
NOR,58,2
ITA,58,3
URS,58,4
JPN,58,5
CAN,58,6
CAN,59,1
CAN,59,2
MEX,59,3
NOR,59,4
NOR,59,5
AUS,59,6
NED,60,1
URS,60,2
GBR,60,3
USA,60,4
GER,60,5
AUS,61,1
GER,61,2
WGE,61,3
CAN,61,4
WGE,61,5
CAN,61,6
AUS,61,7
ITA,61,8
CAN,61,9
FRA,62,1
YUG,62,2
FRA,62,3
ITA,62,4
NED,62,5
GER,63,1
AUS,63,2
ITA,63,3
FRA,63,4
FRA,63,5
RUS,63,6
FRA,63,7
GER,64,1
USA,64,2
ITA,64,3
CAN,64,4
CAN,64,5
JPN,65,1
JPN,65,2
YUG,65,3
USA,65,4
ITA,65,5
USA,65,6
NOR,65,7
USA,65,8
USA,66,1
USA,66,2
USA,66,3
CAN,66,4
NOR,66,5
URS,66,6
AUT,66,7
USA,66,8
ITA,67,1
AUT,68,1
FRA,68,2
FRA,68,3
AUS,68,4
ITA,69,1
NED,69,2
RUS,70,1
USA,70,2
NOR,70,3
CAN,70,4
USA,70,5
FRA,70,6
CHN,71,1
WGE,71,2
URS,71,3
USA,71,4
FIN,71,5
AUS,71,6
FIN,71,7
URS,71,8
USA,71,9
USA,72,1
ITA,72,2
ITA,73,1
FRA,73,2
NOR,73,3
ESP,73,4
KOR,74,1
CHN,74,2
RUS,74,3
ITA,74,4
CHN,77,1
SUI,77,2
ITA,77,3
USA,77,4
BRA,77,5
NOR,77,6
AUS,77,7
GBR,78,1
KOR,78,2
JPN,78,3
USA,79,1
KOR,79,2
NOR,79,3
FRA,79,4
SUI,79,5
NOR,79,6
USA,79,7
FRA,79,8
USA,79,9
USA,80,1
CAN,80,2
JPN,81,1
URS,81,2
ESP,81,3
YUG,81,4
GBR,83,1
SWE,83,2
USA,83,3
AUS,83,4
AUS,83,5
JPN,83,6
NOR,84,1
JPN,84,2
GRE,86,1
JPN,86,2
CHN,86,3
YUG,86,4
KOR,86,5
AUT,87,1
USA,87,2
GBR,88,1
SUI,88,2
KOR,88,3
FIN,88,4
WGE,89,1
USA,89,2
USA,89,3
JPN,89,4
FRA,89,5
USA,89,6
FRA,90,1
SUI,90,2
MEX,91,1
NED,91,2
USA,91,3
YUG,91,4
GBR,91,5
CAN,91,6
CAN,91,7
JPN,91,8
FIN,92,1
AUS,92,2
CAN,92,3
JPN,92,4
FRA,92,5
JPN,93,1
CAN,93,2
USA,93,3
FRA,93,4
NED,93,5
AUS,93,6
ESP,93,7
KOR,93,8
NOR,94,1
WGE,94,2
FRA,94,3
USA,94,4
RUS,94,5
SUI,95,1
CAN,95,2
CAN,95,3
USA,96,1
NOR,97,1
CHN,97,2
CAN,97,3
FRA,97,4
NED,98,1
ITA,98,2
JPN,98,3
FRA,98,4
FRA,98,5
ESP,98,6
FRA,98,7
AUS,98,8
JPN,98,9
FRA,100,1
ESP,100,2
CAN,100,3
CHN,100,4
KOR,102,1
USA,102,2
JPN,102,3
USA,102,4
FIN,102,5
GER,102,6
AUT,103,1
URS,103,2
GRE,103,3
NOR,103,4
CAN,103,5
FRA,103,6
BRA,103,7
AUS,103,8
ESP,103,9
CAN,104,1
MEX,104,2
RUS,105,1
WGE,105,2
CAN,105,3
FIN,106,1
SUI,106,2
BRA,106,3
AUS,107,1
FIN,107,2
CAN,107,3
CAN,107,4
AUS,107,5
ITA,107,6
JPN,107,7
RUS,107,8
NOR,109,1
SWE,109,2
NOR,109,3
NOR,109,4
KOR,109,5
SWE,109,6
AUS,109,7
MEX,110,1
ITA,110,2
ESP,110,3
NOR,111,1
YUG,111,2
GBR,111,3
FRA,111,4
SUI,111,5
GRE,111,6
BRA,111,7
AUT,113,1
ITA,114,1
USA,114,2
JPN,114,3
FIN,114,4
AUT,114,5
ITA,114,6
USA,114,7
USA,114,8
URS,114,9
URS,115,1
ESP,115,2
RUS,115,3
GRE,115,4
YUG,115,5
SUI,115,6
USA,116,1
AUT,116,2
NED,116,3
AUS,116,4
CAN,117,1
GRE,117,2
JPN,118,1
GRE,118,2
NOR,118,3
NOR,118,4
USA,119,1
CAN,119,2
USA,119,3
WGE,119,4
NOR,119,5
FRA,119,6
AUT,121,1
MEX,121,2
JPN,121,3
ITA,121,4
GER,121,5
USA,122,1
CAN,122,2
CAN,122,3
ITA,123,1
CHN,123,2
USA,123,3
FRA,124,1
NOR,125,1
USA,125,2
GER,125,3
ITA,126,1
USA,126,2
USA,126,3
NED,126,4
CHN,126,5
AUS,126,6
YUG,126,7
GRE,126,8
FRA,128,1
JPN,128,2
NED,130,1
USA,130,2
GRE,130,3
GBR,130,4
NOR,130,5
YUG,130,6
SUI,130,7
KOR,130,8
GER,131,1
KOR,131,2
CAN,132,1
GBR,132,2
FRA,132,3
FRA,132,4
USA,132,5
USA,132,6
FIN,132,7
MEX,132,8
CAN,134,1
YUG,134,2
BRA,134,3
CAN,134,4
CAN,134,5
SWE,134,6
URS,134,7
GER,135,1
URS,135,2
SUI,135,3
